поле;порядок поля;размерность;векторов в V;форма;изотропных ненулевых;базисы корректны;кодирование и декодирование;матрицы перехода базисов обратны;матрицы пересчета координат обратны;координаты вектора контравариантны;координаты ковектора ковариантны;значение ковектора инвариантно
F2;2;1;2;q(v)=sum xi^2;0;да;да;да;да;да;да;да
F2;2;2;4;q(v)=sum xi^2;1;да;да;да;да;да;да;да
F2;2;3;8;q(v)=sum xi^2;3;да;да;да;да;да;да;да
F2;2;4;16;q(v)=sum xi^2;7;да;да;да;да;да;да;да
F3;3;1;3;q(v)=sum xi^2;0;да;да;да;да;да;да;да
F3;3;2;9;q(v)=sum xi^2;0;да;да;да;да;да;да;да
F3;3;3;27;q(v)=sum xi^2;8;да;да;да;да;да;да;да
F3;3;4;81;q(v)=sum xi^2;32;да;да;да;да;да;да;да
F4;4;1;4;q(v)=sum xi^2;0;да;да;да;да;да;да;да
F4;4;2;16;q(v)=sum xi^2;3;да;да;да;да;да;да;да
F4;4;3;64;q(v)=sum xi^2;15;да;да;да;да;да;да;да
F4;4;4;256;q(v)=sum xi^2;63;да;да;да;да;да;да;да
